0	9.2637E-4	0.00382
0.2	7.8625E-4	0.00413
0.4	0.00123	0.00299
0.6	0.00133	0.00243
0.8	0.00147	0.00151
1.1	0.00176	6.9432E-4
1.2	0.00184	2.0347E-4
1.4	0.00169	5.3235E-4
1.6	0.00178	3.8385E-4
1.8	0.00204	3.3657E-4
2	0.00162	4.5323E-4
2.2	0.00161	8.449E-4
2.4	0.0015	0.00158
2.6	0.00137	0.00175
2.8	0.0015	0.00178
3	0.00134	0.00218
3.2	0.00138	0.00226
3.4	0.0016	0.00253
3.6	0.00158	0.00251
3.8	0.00147	0.00255
4	0.00143	0.0026
4.2	0.00112	0.00343
4.4	0.00141	0.00299
4.6	0.0018	0.00181
4.8	0.00211	0.00135
5.4	0.00166	0.00155
5.8	0.00143	0.00134
6.1	0.00154	0.0014
6.2	0.00157	0.00142
6.5	0.00166	0.00229
6.7	0.00174	0.00201
6.9	0.00172	0.00184
7.1	0.00161	0.00226
7.3	0.00165	0.00204
7.6	0.00112	0.0037
7.8	7.9978E-4	0.00436
8	5.7359E-4	0.00498
8.2	7.1812E-4	0.00474
8.4	6.7959E-4	0.00457
8.6	7.2191E-4	0.00445
8.8	5.2264E-4	0.00442
9	6.0126E-4	0.00432
9.2	0.00104	0.00341
9.3	0.0012	0.00275
9.5	8.5392E-4	0.0028
9.7	0.00126	0.00194
9.9	7.8765E-4	0.00329
10.1	7.4042E-4	0.00357
10.3	7.5007E-4	0.00307
10.5	9.781E-4	0.0029
10.7	0.00134	0.00261
10.9	0.00174	0.00186
11	0.00185	8.8384E-4
11.2	0.00202	7.5922E-4
11.4	0.00199	9.7749E-4
11.6	0.00202	7.7105E-4
11.8	0.002	9.7621E-4
12	0.00241	2.3852E-4
12.2	0.00212	8.8825E-4
12.4	0.00209	9.4399E-4
12.6	0.00207	8.899E-4
12.8	0.00167	0.00203
13	3.2168E-4	0.00597
13.2	2.7741E-4	0.00653
13.4	1.003E-5	0.00698
13.6	5.0146E-4	0.00619
13.8	2.2903E-4	0.00673
14	1.6664E-4	0.00698
14.2	4.2571E-4	0.00608
14.4	6.8147E-4	0.00503
14.6	0.00103	0.00428
14.8	0.00145	0.0037
15	0.00112	0.00362
15.2	0.0016	0.00228
15.4	0.00107	0.00376
15.6	0.00196	0.00137
15.8	0.00217	9.8188E-4
16	0.00182	0.0022
16.2	0.00215	0.0012
16.4	0.002	0.00165
16.6	0.00135	0.00286
16.8	0.00106	0.00307
17	9.3923E-4	0.0034
17.2	7.5634E-4	0.0037
17.4	8.4017E-4	0.00343
17.6	8.9826E-4	0.00314
17.8	7.4524E-4	0.00279
18	0.001	0.00284
18.2	9.1457E-4	0.00273
18.4	9.4608E-4	0.00298
18.6	0.00138	0.00184
18.8	0.0013	0.00173
19	0.00133	0.00134
19.2	0.00164	0.00137
19.4	0.00172	5.0273E-4
19.6	0.0018	5.485E-4
19.8	0.0023	2.0002E-4
20	0.00219	1.9449E-4
20.2	0.00254	3.52E-4
20.4	0.00236	2.0666E-4
20.6	0.00252	1.7682E-4
20.8	0.00219	0
21	0.00255	7.961E-5
21.2	0.00252	5.4831E-4
21.4	0.00233	0.00142
21.6	0.00218	0.00309
21.8	0.00189	0.00356
22	8.2619E-4	0.00538
22.2	3.4575E-4	0.00625
22.3	2.782E-5	0.0066
22.5	2.0336E-4	0.00645
22.7	0	0.00723
22.9	0	0.00726
23.1	0	0.00728
23.5	9.0511E-4	0.00406
23.6	8.6709E-4	0.00421
23.8	9.6218E-4	0.00333
24	0.00106	0.00331
24.1	0.00108	0.0033
24.3	0.001	0.00387
24.4	9.9752E-4	0.00274
24.6	0.00121	0.00245
24.8	0.00126	0.00279
25	0.00138	0.0025
25.2	0.00106	0.00284
25.4	0.00156	0.00261
25.6	0.00108	0.00364
25.8	0.0014	0.00214
26	0.00128	0.00246
26.2	0.0015	0.00181
26.4	0.00142	0.00141
26.6	0.00143	0.00215
26.8	0.00169	0.00133
27	0.00183	8.7341E-4
27.2	0.00197	7.9103E-4
27.4	0.00219	3.7205E-4
27.6	0.00188	6.1037E-4
27.9	0.00162	7.9523E-4
28	0.00193	9.6804E-4
28.3	0.00196	0.0014
28.5	0.00213	0.00136
28.7	0.00232	0.00113
28.8	0.00235	8.7106E-4
29	0.00175	9.6623E-4
29.2	0.0022	0.00107
29.4	0.00209	0.00132
29.6	0.00235	0.00141
29.8	0.0025	9.3761E-4
30	0.00217	0.00149
30.2	0.00239	0.00137
30.4	0.00203	0.0016
30.6	0.00201	0.00196
30.8	0.00192	0.0021
31	0.00124	0.00341
31.2	9.9365E-4	0.00389
31.4	9.1234E-4	0.00392
31.6	0.00114	0.00322
31.8	9.7098E-4	0.00367
32	0.00125	0.00324
32.2	0.00113	0.00325
32.4	0.00119	0.00282
32.6	0.00163	0.00234
32.8	0.00162	0.00221
33	0.00179	0.00144
33.2	0.00203	0.0014
33.4	0.00244	9.3298E-4
33.6	0.00187	0.00103
