0	12.708
0.1	9.126
0.2	8.909
0.4	11.331
0.5	10.499
0.6	8.028
0.7	7.129
0.8	11.052
0.9	12.333
1	15.389
1.1	12.051
1.2	12.735
1.3	13.405
1.4	13.505
1.5	15.139
1.6	15.54
1.7	16.382
1.9	13.68
2	16.103
2.1	13.413
2.2	16.678
2.3	13.27
2.4	12.556
2.5	11.2
2.6	13.718
2.7	11.796
2.8	8.396
2.9	10.504
3	13.264
3.1	14.627
3.2	14.028
3.3	14.673
3.4	14.529
3.5	14.325
3.6	15.005
3.7	15.707
3.8	17.703
3.9	14.009
4	16.75
4.1	10.544
4.2	18.859
4.3	14.743
4.4	18.089
4.5	15.154
4.6	17.048
4.7	18.045
4.8	16.252
4.9	16.324
5	17.988
5.1	15.886
5.2	19.069
5.3	10.823
5.4	13.753
5.5	15.181
5.6	15.898
5.7	11.128
5.8	12.747
5.9	11.186
6	9.795
6.1	6.274
6.2	5.507
6.3	8.813
6.4	8.665
6.5	6.849
6.6	8.083
6.7	7.771
6.8	8.894
6.9	5.119
7	14.191
7.1	11.135
7.2	9.607
7.3	5.853
7.4	13.727
7.5	13.761
7.6	12.926
7.7	13.724
7.8	9.877
8.1	16.294
8.2	15.551
8.3	15.308
8.4	15.299
8.5	13.999
8.6	12.627
8.7	14.986
8.8	13.317
8.9	9.854
9	5.035
9.1	6.929
9.2	5.543
9.3	5.422
9.4	3.809
9.5	3.451
9.6	4.705
9.7	4.453
9.8	5.956
9.9	6.803
10	9.252
10.1	6.19
10.2	7.516
10.3	7.688
10.4	8.837
10.5	9.105
10.6	4.978
10.7	5.127
10.8	8.704
10.9	5.785
11	7.039
11.1	6.985
11.2	12.799
11.3	10.817
11.4	10.509
11.5	7.629
11.6	7.937
11.7	7.644
11.8	6.558
11.9	5.965
12	5.941
12.1	5.633
12.2	7.226
12.3	8.135
12.4	10.139
12.5	8.925
12.6	7.24
